character,gender,age,sexuality,height,trope,motifs,first_ment,first_app,playlist
Abaddon,"Agender, He/ it",N/A,Aromantic Asexual,6'0,"Slow, calculating","Stillness, the void",Prolegomenon,Balance,https://open.spotify.com/playlist/29YO0xb976kWbgSsx8pzTW?si=4084b10eddeb4930
Aiko,Cisgender Female,15,Asexual Lesbian,5'3,"Dreamer, newbie, underdog, dreamer","Lightning, butterfly",N/A,Project: Hope Effect,https://open.spotify.com/playlist/3ks2IGFLqvYo15IRsNcPyZ?si=5779b29ab0aa456c
Alex,Cisgender Male,25-40s,Aromantic Asexual,5'5,"Barkeep, mediator","Crystals, rebirth",Prolegomenon,Experience,https://open.spotify.com/playlist/5gKbmRKPXzjOz48XTkh9nW?si=018a5d223ccd429a
Amanda,Cisgender Female,19,Pansexual,6'2,"Rebellious, wallflower","Songbirds, peace",Prolegomenon,Experience,https://open.spotify.com/playlist/5UaQj9DhZoaIvLGOkMuXYT?si=bdbda471ce83486f
Amber,Cisgender Female,16,Bisexual,5'3,"Shy, strong willed","Fire, bravery",N/A,Project: Hope Effect,https://open.spotify.com/playlist/6phx3A5BQV8TlRuc1wYdxw?si=503b3f927e9f4eee
Ameille,Cisgender Female,21,Heterosexual,5'1,"Spontaneous adventurer, strong will","Insects, wildflowers",N/A,Experience,N/A
Antoinette,Cisgender Female,20,Lesbian,5'7,"Sinister matriarch, abuser","Sacrificed eyes, mask",N/A,Prolegomenon,https://open.spotify.com/playlist/1lcgKRQ3BeLxVb8OFXcvsA?si=32ed17e1ba8241a6
Azazel,Agender He/him,N/A,Asexual,N/A,"Parasite, instigator","Leech, shadows",N/A,Experience,https://open.spotify.com/playlist/1HPYjyJoLUx0rAn4iXzDX2?si=9d99df1768024edb
Bee,Cisgender Female,,Lesbian,5'2,"Bubbly, friendly menace","Bee, music and dance",N/A,Truth,https://open.spotify.com/playlist/027LRhgQC7UktQBdvHXqdp?si=394ca6a04f6f422a
Birde,Cisgender Male,N/A,Gay,5'3,"Intimidating, quiet, plotting, decisive, uncanny","Owl, red, sharp items",Prolegomenon,Experience,https://open.spotify.com/playlist/23niAjM0HI0jI6zwrnvR0H?si=dff7f5b98bff4d4a
Brook,Cisgender Female,11-20s,Aromantic Asexual,5'0,"Adventurous rebel, friend to all","Animals, the sky, plants",Experience,Sanctuary,https://open.spotify.com/playlist/1xPGkHe4YgPFGYu8GId0fH?si=d8074df31fd442e5
Bunny,Cisgender Male,,Gay (very),,Sadistic misogynist,"Bunny, blood, dog",Prolegomenon,Project: Hope Effect,https://open.spotify.com/playlist/1ppNQcwvWgsbi4a9DvMPnV?si=240b3df356e84f2d
Carter,Cisgender Male,37,Pansexual,5'8,"Famous author, smug, scientist, nerdy","Glasses, life in shambles despite success",N/A,Truth,N/A
Cat,Cisgender Female,N/A,Asexual,5'4,"Caretaker, misunderstood, uncanny","Calico, clown, colors",Prolegomenon,Experience,https://open.spotify.com/playlist/44aB1oVm0AwZa1nNcwOytF?si=ac8642648eda4c42
Catherine,Cisgender Female,20s,,,Traitor,skateboard,Prolegomenon,Project: Hope Effect,N/A
Charlotte,Cisgender Female,20s,,,,,,,N/A
Chieko,Cisgender Female,17-20s,Pansexual,,"Bubbly, outgoing, sporty, mediator","Light, yellow, her smile",N/A,Project: Hope Effect,https://open.spotify.com/playlist/1v5JJDS9x48tHPkgtujmMT?si=e6e1f1a10b33461d
Chrys,Cisgender Male,22-30s,Bisexual,,"Redeemed villain, leader","Deer, fennec fox",Prolegomenon,Project: Hope Effect,https://open.spotify.com/playlist/0621W3CYr6Uu8TfPmGSL82?si=21dd544bd8d14aa7
Connor,Cisgender Male,17-50s,Demisexual,,"Reserved, justice seeking victim, protector","Snakes, trees, wood, fire",N/A,Experience,https://open.spotify.com/playlist/2guxNrd67E0MpLRvbsIGI4?si=092213b5558b435b
Conre,Genderqueer Male,15-20s,Gay,5'2,"Sadistic scientist, mean gay","Snakes, cats, creativity, curiousity",Prolegomenon,Truth,https://open.spotify.com/playlist/5peIdIPOIfJQr54ghLwYSp?si=38fb841e89a54194
Creek,Cisgender Female,19,Heterosexual,5'7,"Strong willed, quick thinker, socially awkward and shy","Fire, flowers, grief",Prolegomenon,Experience,https://open.spotify.com/playlist/7f4xocQKkfVmylVlDlPeeM?si=6d600126decc4095
Dami,Cisgender Male (Closeted Transgender Female),16-20s,Closeted Gay,5'8,"Tragic victim and villain, reserved, mysterious and powerful","Smoke, blood, flowers",N/A,Experience,https://open.spotify.com/playlist/7yQTe1gZKE9uTEL1ONQ8gQ?si=f62262ef88174904
Emilio,Cisgender Male,7,N/A,4'5,"Vindicator, cult member, misguided youth","Anthralilies, knife, goggles and mask",N/A,Prolegomenon,N/A
Emira,Cisgender Female,17,Pansexual,,"Smart and reserved, good friend, artist","Water, healing blue",N/A,Project: Hope Effect,https://open.spotify.com/playlist/5HSIf3TxbViOxEhRRcJxfq?si=bd02383424a340a6
Estelle,Cisgender Female,32,Heterosexual,6'2,"Vindictive mother, cold hate, manipulator","White, blood, pain and bondage",Prolegomenon,Experience,https://open.spotify.com/playlist/2BEy21ibWnUB0VTjqOvdCD?si=b487e8203360470c
Faust,Cisgender Male,30s,Heterosexual,6'8,"Mentor, tough love, manipulated","Goat, staff, hope",N/A,Prolegomenon,https://open.spotify.com/playlist/3KCfpFjxEK0tUvOKLqrGqR?si=9f3ecd0f63a840c6
Fox,Cisgender Male,20s,Bisexual,6'1,"Brooder, calculating, strong willed","Fox, green",Prolegomenon,Project: Hope Effect,https://open.spotify.com/playlist/4ce6c6AUWBQwAuyY7kjmez?si=36b4c6b66a2a4806
Green,Cisgender Female,20s,Lesbian,,"The other girl, jealous","Eyes, green, hair colors",Prolegomenon,Project: Hope Effect,https://open.spotify.com/playlist/3RXOGWJeyK03s82BXikSeU?si=cd77e0a423dd4bfd
Hina,Cisgender Female,14,N/A,,"Smart, bully friend, handcapped","Tech, videogames, math and science",N/A,Project: Hope Effect,N/A
Io,Cisgender Male,13,N/A,4'8,"Self-sacrificing, terrified but brave","imminent death, helpless",N/A,Prolegomenon,N/A
Jace,Cisgender Male,20s,Aromantic Asexual,5'6,"Tired mentor, terrified of self","Restlessness, bad health, hope",Prolegomenon,Experience,https://open.spotify.com/playlist/1HPYjyJoLUx0rAn4iXzDX2?si=9d99df1768024edb
Jamie,Transgender Male,25,Bisexual,5'6,"Chill creative, reserved intelligence","Coffee, camera, insects and arachnids",N/A,Truth,N/A
Jaylo,Cisgender Female,20s,Lesbian,,"Amnesiac, escapee/ victim, strong but cautious","Lightning, calmness, justice",N/A,Truth,https://open.spotify.com/playlist/67zWDXSRNM932ueA7MnQDs?si=c54ae213696f465d
Kieran,Cisgender Male,11,Gay,4'6,"Prodigy, spy, redeemed","Fire, sword, red banner",Prolegomenon,Truth,https://open.spotify.com/playlist/02CYhewsZS357FE0h8hbdI?si=c681ea709e21435c
Kira,Cisgender Female,20s,,,,,N/A,Project: Hope Effect,N/A
Konnie,Cisgender Female,19,Pansexual,,"Popular girl, strong willed","Hook swords, pink, telepathy",N/A,Project: Hope Effect,https://open.spotify.com/playlist/2DBI9tNtA7F2Dao7eC8uS9?si=06b8984ff54b4d9b
