character_a,relation,character_b
Abaddon,,Aiko
Aiko,,Abaddon
Abaddon,Vestige,Alex
Alex,Vessel,Abaddon
Abaddon,,Amanda
Amanda,,Abaddon
Abaddon,,Amber
Amber,,Abaddon
Abaddon,,Ameille
Ameille,,Abaddon
Abaddon,,Antoinette
Antoinette,,Abaddon
Abaddon,,Azazel
Azazel,,Abaddon
Abaddon,,Bee
Bee,,Abaddon
Abaddon,,Birde
Birde,,Abaddon
Abaddon,,Brook
Brook,,Abaddon
Abaddon,,Bunny
Bunny,,Abaddon
Abaddon,,Carter
Carter,,Abaddon
Abaddon,,Cat
Cat,,Abaddon
Abaddon,,Catherine
Catherine,,Abaddon
Abaddon,,Charlotte
Charlotte,,Abaddon
Abaddon,,Chieko
Chieko,,Abaddon
Abaddon,,Chrys
Chrys,,Abaddon
Abaddon,,Connor
Connor,,Abaddon
Abaddon,,Conre
Conre,,Abaddon
Abaddon,,Creek
Creek,,Abaddon
Abaddon,,Dami
Dami,,Abaddon
Abaddon,,Emilio
Emilio,,Abaddon
Abaddon,,Emira
Emira,,Abaddon
Abaddon,,Estelle
Estelle,,Abaddon
Abaddon,,Faust
Faust,,Abaddon
Abaddon,,Fox
Fox,,Abaddon
Abaddon,,Green
Green,,Abaddon
Abaddon,,Hina
Hina,,Abaddon
Abaddon,,Io
Io,,Abaddon
Abaddon,,Jace
Jace,,Abaddon
Abaddon,,Jamie
Jamie,,Abaddon
Abaddon,,Jaylo
Jaylo,,Abaddon
Abaddon,,Kieran
Kieran,,Abaddon
Abaddon,,Kira
Kira,,Abaddon
Abaddon,,Konnie
Konnie,,Abaddon
Abaddon,,Kore
Kore,,Abaddon
Abaddon,,Lavender
Lavender,,Abaddon
Abaddon,,Leah
Leah,,Abaddon
Abaddon,,Lee
Lee,,Abaddon
Abaddon,,Len
Len,,Abaddon
Abaddon,,Leonidas
Leonidas,,Abaddon
Abaddon,,Loki
Loki,,Abaddon
Abaddon,,Loki Primavera
Loki Primavera,,Abaddon
Abaddon,,Luca
Luca,,Abaddon
Abaddon,,Lucielle
Lucielle,,Abaddon
Abaddon,,Margot
Margot,,Abaddon
Abaddon,,Marx
Marx,,Abaddon
Abaddon,Aspect of Balance,Mephisto
Mephisto,Aspect of Chaos,Abaddon
Abaddon,,Moyo
Moyo,,Abaddon
Abaddon,,Natz
Natz,,Abaddon
Abaddon,Reviver,Persephone
Persephone,Revived by,Abaddon
Abaddon,,Pherenix
Pherenix,,Abaddon
Abaddon,,Rat
Rat,,Abaddon
Abaddon,,Rei
Rei,,Abaddon
Abaddon,,S
S,,Abaddon
Abaddon,,Sierra
Sierra,,Abaddon
Abaddon,,Soren
Soren,,Abaddon
Abaddon,,Taka
Taka,,Abaddon
Abaddon,,Vanessa
Vanessa,,Abaddon
Abaddon,,Vi
Vi,,Abaddon
Abaddon,,X
X,,Abaddon
Abaddon,,Zayne
Zayne,,Abaddon
Abaddon,,Zeph
Zeph,,Abaddon
Abaddon,,Zero
Zero,,Abaddon
Aiko,,Alex
Alex,,Aiko
Aiko,,Amanda
Amanda,,Aiko
Aiko,Friend,Amber
Amber,Friend,Aiko
Aiko,,Ameille
Ameille,,Aiko
Aiko,Nemesis,Antoinette
Antoinette,Nemesis,Aiko
Aiko,,Azazel
Azazel,,Aiko
Aiko,,Bee
Bee,,Aiko
Aiko,,Birde
Birde,,Aiko
Aiko,,Brook
Brook,,Aiko
Aiko,Enemy,Bunny
Bunny,Enemy,Aiko
Aiko,,Carter
Carter,,Aiko
Aiko,,Cat
Cat,,Aiko
Aiko,,Catherine
Catherine,,Aiko
Aiko,,Charlotte
Charlotte,,Aiko
Aiko,Friend,Chieko
Chieko,Friend,Aiko
Aiko,Ally,Chrys
Chrys,Ally,Aiko
Aiko,,Connor
Connor,,Aiko
Aiko,,Conre
Conre,,Aiko
Aiko,,Creek
Creek,,Aiko
Aiko,,Dami
Dami,,Aiko
Aiko,,Emilio
Emilio,,Aiko
Aiko,Best Friend,Emira
Emira,Best Friend,Aiko
Aiko,,Estelle
Estelle,,Aiko
Aiko,,Faust
Faust,,Aiko
Aiko,Enemy,Fox
Fox,Enemy,Aiko
Aiko,Enemy,Green
Green,Enemy,Aiko
Aiko,Friend,Hina
Hina,Friend,Aiko
Aiko,,Io
Io,,Aiko
Aiko,,Jace
Jace,,Aiko
Aiko,,Jamie
Jamie,,Aiko
Aiko,Past self,Jaylo
Jaylo,Future self,Aiko
Aiko,Captive,Kieran
Kieran,Captor,Aiko
Aiko,,Kira
Kira,,Aiko
Aiko,Friend,Konnie
Konnie,Friend,Aiko
Aiko,,Kore
Kore,,Aiko
Aiko,,Lavender
Lavender,,Aiko
Aiko,,Leah
Leah,,Aiko
Aiko,,Lee
Lee,,Aiko
Aiko,,Len
Len,,Aiko
Aiko,,Leonidas
Leonidas,,Aiko
Aiko,,Loki
Loki,Girlfriend,Aiko
Aiko,Girlfriend,Loki Primavera
Loki Primavera,,Aiko
Aiko,,Luca
Luca,,Aiko
Aiko,,Lucielle
Lucielle,,Aiko
Aiko,,Margot
Margot,,Aiko
Aiko,,Marx
Marx,,Aiko
Aiko,,Mephisto
Mephisto,,Aiko
Aiko,Friend,Moyo
Moyo,Friend,Aiko
Aiko,,Natz
Natz,,Aiko
Aiko,Friend,Persephone
Persephone,Friend,Aiko
Aiko,,Pherenix
Pherenix,,Aiko
Aiko,,Rat
Rat,,Aiko
Aiko,,Rei
Rei,,Aiko
Aiko,,S
S,Enemy,Aiko
Aiko,Enemy,Sierra
Sierra,,Aiko
Aiko,,Soren
Soren,,Aiko
Aiko,,Taka
Taka,,Aiko
Aiko,,Vanessa
Vanessa,,Aiko
Aiko,,Vi
Vi,,Aiko
Aiko,,X
X,,Aiko
Aiko,,Zayne
Zayne,,Aiko
Aiko,,Zeph
Zeph,,Aiko
Aiko,,Zero
Zero,,Aiko
Alex,,Amanda
Amanda,,Alex
Alex,,Amber
Amber,,Alex
Alex,,Ameille
Ameille,,Alex
Alex,,Antoinette
Antoinette,,Alex
Alex,,Azazel
Azazel,,Alex
Alex,,Bee
Bee,,Alex
Alex,,Birde
Birde,,Alex
Alex,Host,Brook
Brook,Stowaway,Alex
Alex,,Bunny
Bunny,,Alex
Alex,Bartender,Carter
Carter,Regular,Alex
Alex,Acquaintence,Cat
Cat,Acquaintence,Alex
Alex,,Catherine
Catherine,,Alex
Alex,,Charlotte
Charlotte,,Alex
Alex,,Chieko
Chieko,,Alex
Alex,Bartender,Chrys
Chrys,Regular,Alex
Alex,Bartender,Connor
Connor,Regular,Alex
Alex,,Conre
Conre,,Alex
Alex,,Creek
Creek,,Alex
Alex,,Dami
Dami,,Alex
Alex,Future self,Emilio
Emilio,Past self,Alex
Alex,,Emira
Emira,,Alex
Alex,,Estelle
Estelle,,Alex
Alex,,Faust
Faust,,Alex
Alex,,Fox
Fox,,Alex
Alex,,Green
Green,,Alex
Alex,,Hina
Hina,,Alex
Alex,,Io
Io,,Alex
Alex,,Jace
Jace,,Alex
Alex,,Jamie
Jamie,,Alex
Alex,Adoptive Father,Jaylo
Jaylo,Adoptive Daughter,Alex
Alex,,Kieran
Kieran,,Alex
Alex,,Kira
Kira,,Alex
Alex,,Konnie
Konnie,,Alex
Alex,,Kore
Kore,,Alex
Alex,,Lavender
Lavender,,Alex
Alex,,Leah
Leah,,Alex
Alex,,Lee
Lee,,Alex
Alex,Adoptive Father,Len
Len,Adoptive Daughter,Alex
Alex,,Leonidas
Leonidas,,Alex
Alex,,Loki
Loki,,Alex
Alex,,Loki Primavera
Loki Primavera,,Alex
Alex,,Luca
Luca,,Alex
Alex,,Lucielle
Lucielle,,Alex
Alex,,Margot
Margot,,Alex
Alex,Acquaintence,Marx
Marx,Acquaintence,Alex
Alex,,Mephisto
Mephisto,,Alex
Alex,,Moyo
Moyo,,Alex
Alex,,Natz
Natz,,Alex
Alex,,Persephone
Persephone,,Alex
Alex,Bartender,Pherenix
Pherenix,Occasional bargoer,Alex
Alex,,Rat
Rat,,Alex
Alex,,Rei
Rei,,Alex
Alex,,S
S,,Alex
Alex,,Sierra
Sierra,,Alex
Alex,,Soren
Soren,,Alex
Alex,,Taka
Taka,,Alex
Alex,,Vanessa
Vanessa,,Alex
Alex,,Vi
Vi,,Alex
Alex,,X
X,,Alex
Alex,,Zayne
Zayne,,Alex
Alex,,Zeph
Zeph,,Alex
Alex,,Zero
Zero,,Alex
Amanda,,Amber
Amber,,Amanda
Amanda,,Ameille
Ameille,,Amanda
Amanda,,Antoinette
Antoinette,,Amanda
Amanda,,Azazel
Azazel,Accomplice in Amanda's murder,Amanda
Amanda,,Bee
Bee,,Amanda
Amanda,,Birde
Birde,Accomplice in Amanda's murder,Amanda
Amanda,,Brook
Brook,,Amanda
Amanda,,Bunny
Bunny,,Amanda
Amanda,,Carter
Carter,,Amanda
Amanda,Friend,Cat
Cat,Friend,Amanda
Amanda,,Catherine
Catherine,,Amanda
Amanda,,Charlotte
Charlotte,,Amanda
Amanda,,Chieko
Chieko,,Amanda
Amanda,,Chrys
Chrys,,Amanda
Amanda,Friend,Connor
Connor,Friend,Amanda
Amanda,,Conre
Conre,,Amanda
Amanda,Squadmate,Creek
Creek,Squadmate,Amanda
Amanda,,Dami
Dami,,Amanda
Amanda,,Emilio
Emilio,,Amanda
Amanda,,Emira
Emira,,Amanda
Amanda,,Estelle
Estelle,Annoying co-worker,Amanda
Amanda,Annoying co-worker,Faust
Faust,,Amanda
Amanda,,Fox
Fox,,Amanda
Amanda,,Green
Green,,Amanda
Amanda,,Hina
Hina,,Amanda
Amanda,,Io
Io,,Amanda
Amanda,Friend,Jace
Jace,Friend,Amanda
Amanda,,Jamie
Jamie,,Amanda
Amanda,,Jaylo
Jaylo,,Amanda
Amanda,,Kieran
Kieran,,Amanda
Amanda,,Kira
Kira,,Amanda
Amanda,,Konnie
Konnie,,Amanda
Amanda,,Kore
Kore,,Amanda
Amanda,,Lavender
Lavender,,Amanda
Amanda,Daughter,Leah
Leah,Mother,Amanda
Amanda,Murdered by,Lee
Lee,Murderer,Amanda
Amanda,,Len
Len,,Amanda
Amanda,Crush,Leonidas
Leonidas,Crush,Amanda
Amanda,,Loki
Loki,,Amanda
Amanda,,Loki Primavera
Loki Primavera,,Amanda
Amanda,,Luca
Luca,,Amanda
Amanda,,Lucielle
Lucielle,,Amanda
Amanda,,Margot
Margot,,Amanda
Amanda,Daughter,Marx
Marx,Father,Amanda
Amanda,,Mephisto
Mephisto,,Amanda
Amanda,,Moyo
Moyo,,Amanda
Amanda,Niece,Natz
Natz,Uncle,Amanda
Amanda,,Persephone
Persephone,,Amanda
Amanda,Squadmate,Pherenix
Pherenix,Squadmate,Amanda
Amanda,,Rat
Rat,,Amanda
Amanda,,Rei
Rei,,Amanda
Amanda,,S
S,,Amanda
Amanda,,Sierra
Sierra,,Amanda
Amanda,,Soren
Soren,,Amanda
Amanda,,Taka
Taka,,Amanda
Amanda,,Vanessa
Vanessa,,Amanda
Amanda,Squadmate,Vi
Vi,Squadmate,Amanda
Amanda,,X
X,,Amanda
Amanda,,Zayne
Zayne,,Amanda
Amanda,Friend,Zeph
Zeph,Friend,Amanda
Amanda,,Zero
Zero,,Amanda
Amber,,Ameille
Ameille,,Amber
Amber,,Antoinette
Antoinette,,Amber
Amber,,Azazel
Azazel,,Amber
Amber,,Bee
Bee,,Amber
Amber,,Birde
Birde,,Amber
Amber,,Brook
Brook,,Amber
Amber,,Bunny
Bunny,,Amber
Amber,,Carter
Carter,,Amber
Amber,,Cat
Cat,,Amber
Amber,,Catherine
Catherine,,Amber
Amber,,Charlotte
Charlotte,,Amber
Amber,Friend,Chieko
Chieko,Friend,Amber
Amber,Ally,Chrys
Chrys,Ally,Amber
Amber,,Connor
Connor,,Amber
Amber,,Conre
Conre,,Amber
Amber,,Creek
Creek,,Amber
Amber,,Dami
Dami,,Amber
Amber,,Emilio
Emilio,,Amber
Amber,Friend,Emira
Emira,Friend,Amber
Amber,,Estelle
Estelle,,Amber
Amber,,Faust
Faust,,Amber
Amber,,Fox
Fox,,Amber
Amber,,Green
Green,,Amber
Amber,Friend,Hina
Hina,Friend,Amber
Amber,,Io
Io,,Amber
Amber,,Jace
Jace,,Amber
Amber,,Jamie
Jamie,,Amber
Amber,,Jaylo
Jaylo,,Amber
Amber,,Kieran
Kieran,,Amber
Amber,,Kira
Kira,,Amber
Amber,Friend,Konnie
Konnie,Friend,Amber
Amber,,Kore
Kore,,Amber
Amber,,Lavender
Lavender,,Amber
Amber,,Leah
Leah,,Amber
Amber,,Lee
Lee,,Amber
Amber,,Len
Len,,Amber
Amber,,Leonidas
Leonidas,,Amber
Amber,Friend,Loki
Loki,Friend,Amber
Amber,,Loki Primavera
Loki Primavera,,Amber
Amber,,Luca
Luca,,Amber
Amber,,Lucielle
Lucielle,,Amber
Amber,,Margot
Margot,,Amber
Amber,,Marx
Marx,,Amber
Amber,,Mephisto
Mephisto,,Amber
Amber,Friend,Moyo
Moyo,Friend,Amber
Amber,,Natz
Natz,,Amber
Amber,Friend,Persephone
Persephone,Friend,Amber
Amber,,Pherenix
Pherenix,,Amber
Amber,,Rat
Rat,,Amber
Amber,,Rei
Rei,,Amber
Amber,,S
S,,Amber
Amber,,Sierra
Sierra,,Amber
Amber,,Soren
Soren,,Amber
Amber,,Taka
Taka,,Amber
Amber,,Vanessa
Vanessa,,Amber
Amber,,Vi
Vi,,Amber
Amber,,X
X,,Amber
Amber,,Zayne
Zayne,,Amber
Amber,,Zeph
Zeph,,Amber
Amber,,Zero
Zero,,Amber
Ameille,,Antoinette
Antoinette,,Ameille
Ameille,,Azazel
Azazel,,Ameille
Ameille,,Bee
Bee,,Ameille
Ameille,,Birde
Birde,,Ameille
Ameille,,Brook
Brook,,Ameille
Ameille,,Bunny
Bunny,,Ameille
Ameille,,Carter
Carter,,Ameille
Ameille,,Cat
Cat,,Ameille
Ameille,,Catherine
Catherine,,Ameille
Ameille,,Charlotte
Charlotte,,Ameille
Ameille,,Chieko
Chieko,,Ameille
Ameille,,Chrys
Chrys,,Ameille
Ameille,Sister in-law,Connor
Connor,Brother in-law,Ameille
Ameille,,Conre
Conre,,Ameille
Ameille,,Creek
Creek,,Ameille
Ameille,Mother,Dami
Dami,Son,Ameille
Ameille,,Emilio
Emilio,,Ameille
Ameille,,Emira
Emira,,Ameille
Ameille,,Estelle
Estelle,,Ameille
Ameille,,Faust
Faust,,Ameille
Ameille,,Fox
Fox,,Ameille
